ID,KR,EN,JA,CN
story_7,"그때, 작은 신당 하나가 눈에 들어왔다.","Just then, a small shrine caught my eye.",そのとき、小さな祠が目に入った。,就在这时，一座小小的神龛映入了眼帘。
story_9,“...여긴...?”,“...What is this place...?”,「……ここは……？」,“……这里是……？”
story_10,“분명 이 근처는 전부 확인했을 텐데...”,“I'm sure I checked every part of this area...”,「確か、この辺りは全部調べたはずなのに……」,“明明这附近我都已经搜查过了……”
story_11,“이렇게 작은 곳이... 남아 있었네.”,“A place this small... was still here.”,「こんな小さな場所が……まだ残っていたのか。」,“这么小的地方……居然还留着。”
story_12,망설일 시간은 없었다.,There was no time to hesitate.,迷っている時間はなかった。,已经没有犹豫的时间了。
story_13,나는 고민 없이 문을 벌컥 열고 안으로 들어갔다.,"Without a second thought, I threw the door open and stepped inside.",私はためらうことなく扉を勢いよく開け、そのまま中へ入った。,我毫不犹豫地猛然推开门，走了进去。
story_14,“...있다.”,“...There it is.”,「……あった。」,“……找到了。”
story_15,"작지만,","Though it was small,",「……あった。」,虽然很小，
story_16,선명하게 빛나는 성물 하나.,"a single sacred relic, shining brightly.",鮮やかに輝く聖遺物がひとつ。,一件散发着耀眼光芒的圣物。
story_17,나는 곧장 그것을 집어 들었다.,I immediately picked it up.,私はすぐにそれを手に取った。,我立刻将它拿了起来。
story_18,“후...”,“...Phew...”,「……ふぅ……」,“……呼……”
story_19,"손에 닿는 순간 무겁게 짓눌렀던 몸이,","The moment it touched my hand, the weight that had been pressing down on my body,",手に触れた瞬間、重くのしかかっていた体が、,在碰到它的瞬间，一直沉重压迫着身体的负担，
story_20,거짓말처럼 가벼워졌다.,became light as if it had all been a lie.,嘘のように軽くなった。,仿佛一场谎言般，身体顿时轻松了起来。
story_21,“ 다행이다...”,“...Thank goodness...”,「……よかった……」,“……太好了……”
story_22,"원래라면 안전한 곳으로 가져갔겠지만,","Normally, I would have taken it somewhere safe,",本来なら安全な場所へ持って行くところだったが、,如果是平时，我会把它带到安全的地方，
story_23,지금은 그럴 여유가 없었다.,but I don't have time for that now.,今はそんな余裕がない。,但现在已经没有那种余裕了。
story_24,당장 흡수하지 않으면 버티지 못한다.,"If I don't absorb it now, I won't last much longer.",今すぐ吸収しなければ、もうもたない。,如果不马上吸收它，我撑不了多久。
story_25,"나는 성물을 꽉 쥔 채, 눈을 감았다.","Clutching the relic tightly, I closed my eyes.",聖遺物を強く握りしめたまま、目を閉じた。,我紧紧握着圣物，闭上了眼睛。
story_26,따뜻한 빛이 몸을 감싸는 게 느껴졌다.,I felt a warm light envelop my body.,温かな光が体を包み込むのを感じた。,我感觉到温暖的光芒包裹住了身体。
story_27,“...후우...이제 좀... 괜찮...”,“...Phew... that's a little better...”,「……ふぅ……これで少しは……」,“……呼……总算……好一点了……”
story_28,"그때, 갑자기 뒤에서 바스락거리는 소리가 들렸다.","Just then, a rustling sound came from behind me.",そのとき、不意に背後から物音が聞こえた。,就在这时，身后突然传来了窸窣声。
story_29,"“...거기, 누군가 있니?”",“...Is someone there?”,「……そこに、誰かいるのかい？」,“……那里，有人在吗？”
story_30,“.....!”,“.....!”,「……っ！」,“……！”
story_31,도망치려 몸을 움직이려는 순간—,The moment I tried to run—,逃げようとした、その瞬間――,就在我准备逃跑的瞬间——
story_32,"내 손에 있던 성물이, 보이지 않는 힘에 이끌려 날아갔다.",The relic in my hand was pulled away by an unseen force.,手の中の聖遺物が、見えない力に引かれて飛んでいった。,我手中的圣物被一股无形的力量牵引着飞了出去。
story_33,“...안돼....!”,“...No...!”,「……だめ……っ！」,“……不行……！”
story_34,"아름다운 한 남자의 손에, 성물이 되돌아가 있었다.",The relic had returned to the hand of a beautiful man.,聖遺物は、一人の美しい男の手へと戻っていた。,圣物已经回到了那名俊美男子的手中。
story_35,"“...그거, 내 거라서.”",“...That's mine.”,「……それは私のものなんだ。」,“……那是我的东西。”
story_36,남자는 당황한 표정조차 없었다.,The man didn't look flustered in the slightest.,男は少しも慌てた様子を見せなかった。,那名男子脸上甚至看不出一丝慌张。
story_37,그저 온화한 미소만 지을 뿐.,He merely smiled gently.,ただ穏やかな微笑みを浮かべているだけだった。,只是静静地露出温和的微笑。
story_38,"작은 성물이 자신의 것이라고 말하는 이 남자를,","Looking at the man who claimed the relic as his own,",小さな聖遺物を自分のものだと言うこの男を見て、,看着这个声称圣物属于自己的男人，
story_39,나는 분명 신일 거라 확신했다.,I was certain he was a god.,私は彼が神なのだと確信した。,我确信他一定是神。
story_40,“많이 급해 보이는데...”,“You seem to be in quite a hurry.”,「ずいぶん切羽詰まっているようだね。」,“看起来，你似乎很着急呢。”
story_41,“돌려줘요.”,“Give it back.”,「返してください。」,“还给我。”
story_42,“...그건 못 한단다.”,“...I can't give that to you.”,「……それは渡せないんだ。」,“……那个我不能给你。”
story_43,"단호했지만, 목소리는 여전히 부드러웠다.","Though firm, his voice remained gentle.",きっぱりとしていたが、その声は優しかった。,虽然语气坚定，但声音依旧温柔。
story_44,"“대신, 이야기 좀 해주지 않으련?”","“Instead, would you tell me what's going on?”",「その代わり、何があったのか話してくれないか。」,“不过，可以告诉我发生了什么吗？”
story_45,“...왜 이런 짓을 하는지.”,“...Why you're doing this.”,「……なぜこんなことをしているのか。」,“……为什么要做这种事。”
story_46,“...하...”,“...Hah...”,「……はぁ……」,“……哈……”
story_47,"숨이 점점 가빠지고,","My breathing grew heavier,",息がさらに荒くなり、,呼吸变得愈发急促，
story_48,시야가 흔들려왔다.,my vision began to blur.,視界が揺らぎ始めた。,视线开始模糊起来。
story_49,(아직 전부 흡수하지 못했는데...),(I haven't absorbed it all yet...),（まだ全部吸収できていないのに……）,（明明还没有完全吸收……）
story_50,“...안 그러면... 죽어...”,“...If I don't... I'll die...”,「……そうしないと……死ぬ……」,“……不这样的话……我会死……”
story_51,그 말을 끝으로 몸에서 힘이 풀리며 그대로 쓰러졌다.,"The last of my strength gave out, and I collapsed where I stood.",そう言い終えた瞬間、体から力が抜け、その場に倒れ込んだ。,说完这句话后，我全身的力气瞬间消失，直接倒了下去。
story_52,“...!”,“...!”,「……！」,“……！”
story_53,그의 얼굴에 놀란 기색이 스쳤다.,A look of surprise crossed his face.,彼の顔に驚きの色がよぎった。,他的脸上闪过一丝惊讶。
story_54,"잠시 망설이다가, 조용히 다가와","After a brief hesitation, he quietly approached,",少しだけためらった後、静かに近づいてきて、,他犹豫了片刻，随后静静地走了过来，
story_55,쓰러진 나를 받아냈다.,and caught me as I fell.,倒れた私を受け止めた。,接住了倒下的我。
story_56,"“...이건, 생각보다 심각하네.”",“...This is more serious than I thought.”,「……これは、思ったより深刻だね。」,“……情况比我想象的还要严重。”
story_57,“이 아이는 도대체...”,“Just who is this girl...?”,「この子はいったい……」,“这孩子到底是……”
story_58,"눈을 뜨자, 낯선 천장이 보였다.","When I opened my eyes, an unfamiliar ceiling came into view.",目を開けると、見知らぬ天井が目に入った。,睁开眼时，映入眼帘的是陌生的天花板。
story_59,“헉...!”,“Gasp...!”,「はっ……！」,“哈……！”
story_60,“...여긴...”,“...Where am I...?”,「……ここは……？」,“……这里是……？”
story_61,아직 살아있다.,I'm still alive.,まだ、生きている。,我还活着。
story_62,나는 몸을 더듬거리며 벌떡 일어났다.,I quickly felt around my body and sat upright.,自分の体を確かめながら、勢いよく起き上がった。,我连忙检查自己的身体，猛地坐起身来。
story_63,(분명... 성물을 빼앗겼을 텐데...),(I'm sure... he took the relic...),（確かに……聖遺物を奪われたはずなのに……）,（明明……圣物已经被拿走了……）
story_65,“깼구나.”,“You're awake.”,「目が覚めたんだね。」,“你醒了啊。”
story_66,“...!”,“...!”,「……！」,“……！”
story_67,온화하게 미소 짓고 있는 남자의 얼굴과 마주쳤다.,I found myself face to face with the man smiling gently at me.,穏やかに微笑む男と目が合った。,我对上了那名正温柔微笑着的男人的目光。
story_68,"놀란 것도 잠시, 심장이 묘하게 울렸다.",My surprise lasted only a moment before my heart gave a strange throb.,驚いたのも束の間、胸が不思議に高鳴った。,惊讶只持续了一瞬，心脏却莫名悸动起来。
story_69,(내 심장이... 뭔가 이상해...),(My heart... feels strange...),（心臓が……なんだか変だ……）,（我的心脏……总觉得有点奇怪……）
story_70,나는 의아해하면서도 그 신을 경계하며 바라보았다.,"Confused, I kept my guard up as I looked at the god.",戸惑いながらも、私は警戒を解かずにその神を見つめた。,虽然感到困惑，但我仍警惕地看着那位神明。
story_71,"“조금, 신력을 나누어 주었단다.”",“I shared a little of my divine power with you.”,「少しだけ、神力を分けてあげたんだ。」,“我分给了你一点神力。”
select_1_1,왜 도와준 거죠?,Why did you help me?,どうして助けてくれたんですか？,为什么要帮我？
select_1_2,고마워요.,Thank you.,ありがとうございます。,谢谢您。
select_1_3,다시 돌려줘요.,Give it back.,返してください。,请还给我。
story_72,“...왜 도와준 거죠?”,“...Why did you help me?”,「……どうして助けてくれたんですか？」,“……为什么要帮我？”
story_74,“...그냥 두고 갈 수가 없어서.”,“...Because I couldn't just leave you there.”,「……放ってはおけなかったから。」,“……因为我没办法就那样丢下你不管。”
story_75,"“그 상태면, 정말 죽을 것 같았거든.”",“You really looked like you were going to die.”,「あのままだと、本当に死んでしまいそうだったからね。」,“以你当时的状况，真的会死的。”
story_76,"“그래도, 저는—”","“Even so, I—”",「それでも、私は――」,“可是，我——”
story_77,“...알아.”,“...I know.”,「……分かっているよ。」,“……我知道。”
story_78,“아이야...내 걸 훔치러 온 거지?”,"“You came here to steal from me, didn't you?”",「君は……私のものを盗みに来たんだろう？」,“孩子啊……你是来偷我的东西的，对吧？”
story_251,그의 말에 나는 아무 말도 할 수 없었다.,I couldn't find a single word to say.,その言葉に、私は何も返せなかった。,听到这句话，我一句话也说不出来。
story_80,“...그렇다고 죽게 둘 수는 없잖아.”,“...But that doesn't mean I could let you die.”,「……だからといって、見殺しにはできないだろう。」,“……可即便如此，我也不能眼睁睁看着你死去。”
story_81,“...고마워요...”,“...Thank you...”,「……ありがとうございます……」,“……谢谢您……”
story_83,“...그래.”,“...You're welcome.”,「……うん。」,“……嗯。”
story_85,“내가 가진 신력이 얼마 남지 않아 조금 걱정했다만”,"“I was a little worried, since I don't have much divine power left myself.”",「私の神力もあまり残っていなかったから、少し心配だったんだけどね。」,“我的神力也所剩不多了，所以其实有些担心。”
story_86,"“네가 무사해서 다행이구나, 아이야.”","“I'm glad you're safe, little one.”",「君が無事でよかったよ。」,“你没事就好，孩子。”
story_88,“...그거... 당신 거잖아요.”,“...But that relic belongs to you.”,「……でも、それ……あなたのものなんですよね。」,“……可是，那是您的东西吧。”
story_90,“...그래도 괜찮아.”,"“...Even so, it's alright.”",「……それでも構わないよ。」,“……即便如此，也没关系。”
story_91,“조금 나눠준 것뿐이니까.”,“I only shared a little of it with you.”,「少し分けてあげただけだから。」,“我只是分给了你一点而已。”
story_92,“...다시 돌려줘요.”,“...Please give it back.”,「……返してください。」,“……请还给我。”
story_94,"“그건 안된단다, 아이야.”",“I'm afraid I can't do that.”,「それは返せないんだ。」,“那个我不能还给你。”
story_250,“신이라도 성물이 없으면... 죽을 수 있거든.”,“Even a god can die without their relic.”,「神だって、聖遺物がなければ……死ぬことがあるんだ。」,“即使是神，没有圣物的话……也可能会死。”
story_95,"“저, 그거 없으면—”","“But without it, I—”",「でも、私……あれがないと――」,“可是，如果没有那个，我——”
story_96,“...알고 있어.”,“...I know.”,「……分かっているよ。」,“……我知道。”
story_97,“그래서 조금 나눠준 거야.”,“That's why I shared a little of my power with you.”,「だから少しだけ、神力を分けたんだ。」,“所以我才分给了你一点神力。”
story_98,"“...전부 주는 건, 못 한단다.”",“...But I can't give it all to you.”,「……全部を渡すことはできないんだ。」,“……但我不能把全部都给你。”
story_99,말은 단호했지만 목소리는 여전히 부드러웠다.,"Though his words were firm, his voice remained gentle.",言葉はきっぱりとしていたが、その声は変わらず優しかった。,虽然话说得坚定，但声音依旧温柔。
story_100,그의 말에 내 양심이 쿡쿡 찔려오자,His words pricked at my conscience.,彼の言葉に、胸がちくりと痛んだ。,听到他的话，我的良心隐隐作痛。
story_101,나도 모르게 한숨이 새어 나왔다.,A sigh escaped my lips before I knew it.,思わずため息がこぼれた。,不知不觉间，我轻轻叹了口气。
story_102,“하아...”,“...Sigh...”,「……はぁ……」,“……哈啊……”
story_103,(이 신은...),(This god...),（この神は……）,（这位神明……）
story_104,(어쩌면 바보일지도 모르겠다.),(Maybe he's a little foolish.),（もしかしたら、お人好しなのかもしれない。）,（说不定，是个傻瓜。）
story_105,(정말 이상한 신이지만...),(He's a really strange god...),（本当に変わった神だけど……）,（真是个奇怪的神明……）
story_106,(어딘가 낯설지가 않아...),"(Yet somehow, he doesn't feel unfamiliar.)",（なぜだろう、どこか懐かしい気がする……）,（可不知为何，总觉得并不陌生……）
story_107,(...분명 처음 보는 신인데.),(...Even though we've never met before.),（……初めて会うはずなのに。）,（……明明是第一次见到的神明。）
story_108,얼마나 시간이 지났을까.,I wonder how much time had passed.,どれくらい時間が経っただろう。,不知过去了多久。
story_109,"숨이 가빠오던 몸이, 조금씩 원래대로 돌아오기 시작했다.","My body, once struggling for breath, slowly began to recover.",息苦しかった体も、少しずつ元に戻り始めていた。,原本呼吸困难的身体，也渐渐恢复了正常。
story_110,“...조금은 괜찮니?”,“...Are you feeling a little better?”,「……少しは楽になったかい？」,“……好一些了吗？”
story_112,“...네.”,“...Yes.”,「……はい。」,“……嗯。”
story_113,“무리하면 또 쓰러질 거란다.”,"“If you push yourself, you'll collapse again.”",「無理をしたら、また倒れてしまうよ。」,“要是勉强自己，可是会再倒下的。”
story_114,“...당분간은 여기서 쉬어도 괜찮아.”,“...You may stay here and rest for a while.”,「……しばらくは、ここで休んでいくといい。」,“……这段时间就在这里休息吧。”
select_2_1,...조금 더 쉬었다 갈게요,I'll rest a little longer before I go.,もう少し休んでから行きます。,我再休息一会儿再走。
select_2_2,다른 신당을 찾으러 가볼게요.,I'll go look for another shrine.,別の祠を探しに行きます。,我去找别的神龛。
story_115,그가 나를 보며 부드럽게 미소 지었다.,He looked at me and smiled gently.,彼は私を見て、優しく微笑んだ。,他看着我，温柔地笑了。
story_116,“...그러렴.”,“...Alright.”,「……そうするといい。」,“……那就好好休息吧。”
story_117,"벌떡 일어나 급하게 나가려고 하자,","As I hurriedly got to my feet and tried to leave,",慌てて立ち上がり、そのまま出て行こうとすると、,我猛地站起身，急着想要离开时，
story_118,그가 내 손목을 붙잡았다.,he caught hold of my wrist.,彼が私の手首をつかんだ。,他伸手抓住了我的手腕。
story_119,부드럽지만 놓아주지 않겠다는 듯.,"Gentle, yet unwilling to let me go.",優しい力だったが、離すつもりはないようだった。,力道温和，却丝毫没有放开的意思。
story_121,“...잠시만...아이야...”,"“...Wait, little one...”",「……待ってくれ……」,“……等一下……”
story_122,"“지금 이 상태로 나갔다간 위험할 수 있으니, 조금 더 있다 가지 않으련?”","“In your condition, it could be dangerous to leave right now. Wouldn't you stay a little longer?”",「今の君の状態で出て行くのは危ないかもしれない。もう少しここにいてくれないか？」,“以你现在的状况出去的话，可能会有危险。能不能再多待一会儿？”
story_254,“......알겠어요.”,“......Alright.”,「……分かりました。」,“……我知道了。”
story_123,신당 이라고 하기에도 어색할 정도로 텅 비어 있는 공간에,"In a space so empty it hardly seemed worthy of being called a shrine,",神社と呼ぶにはあまりにも質素なその場所で、,在那空荡得几乎称不上神龛的地方，
story_124,나와 그는 적당한 거리를 유지하며 앉아있었다.,he and I sat a short distance apart.,私たちは程よい距離を空けて座っていた。,我和他隔着恰到好处的距离坐着。
story_125,"이상하게 마음이 가라앉지 않고,","Strangely, I couldn't calm down,",なぜだか落ち着かなくて、,不知为何，我始终无法平静下来。
story_126,심장이 이유 없이 두근거렸다.,and my heart kept racing for no reason.,理由もなく胸が高鳴っていた。,心脏也毫无缘由地怦怦直跳。
story_127,(진짜 왜 이러지...),(What's wrong with me...?),（本当にどうしたんだろう……）,（我到底是怎么了……）
story_128,나도 모르게 시선이 그에게 향했다.,"Before I knew it, my eyes drifted toward him.",気づけば視線が彼へ向いていた。,回过神来时，我的目光已经落在了他的身上。
story_129,(...왜 이렇게 신경 쓰이는 거야...),(...Why do I keep paying attention to him...?),（……どうしてこんなに気になるんだろう……）,（……为什么会这么在意他……）
story_130,그 순간—,At that moment—,そのとき――,就在那一刻——
story_131,“...아이야.”,“...Little one.”,「……君。」,“……孩子。”
story_132,정적을 깨듯 그의 목소리가 들려왔다.,His voice broke the silence.,静寂を破るように、彼の声が聞こえた。,他的声音打破了沉默。
story_133,“...네?”,“...Yes?”,「……はい？」,“……嗯？”
story_134,"“...지금, 나를 보고 있었니?”",“...Were you looking at me just now?”,「……さっきから、私を見ていたのかい？」,“……刚才，你一直在看我吗？”
story_135,“...!”,“...!”,「……！」,“……！”
story_252,“아니거든요...!”,“I wasn't...!”,「見てません……！」,“我才没有……！”
story_136,“...이상하구나.”,“...How curious.”,「……おかしいな。」,“……真奇怪啊。”
story_137,들킨 것 같아 더 부끄러워졌다.,Feeling as though I'd been caught made me even more embarrassed.,見抜かれた気がして、余計に恥ずかしくなった。,觉得像是被看穿了一样，让我更加害羞了。
story_138,"나는 쭈그린 채, 무릎에 얼굴을 묻고 아무 말도 없이 가만히 있었다.","Curling up, I buried my face in my knees and stayed silent.",体を小さく丸め、膝に顔を埋めたまま黙り込んだ。,我蜷缩起身体，把脸埋进膝盖里，一言不发。
story_139,"그도 정적을 지키며 다시 조용해지자,","He too fell silent once more,",彼もまた静かになると、,他也重新安静下来后，
story_140,나는 어느새 잠에 들었다.,"and before I knew it, I had fallen asleep.",私はいつの間にか眠っていた。,不知不觉间，我睡着了。
story_141,"생각할 일은 너무나도 많았지만, 이미 너무 지쳐 있었다.","There was so much to think about, but I was already exhausted.",考えることは山ほどあったのに、私はもう疲れ切っていた。,明明还有那么多事情要思考，但我早已疲惫不堪。
story_142,"(잠시만— 잠시만 쉬고, 다시 움직이자.)","(Just for a little while... I'll rest a little, then get moving again.)",（少しだけ……少しだけ休んだら、また動こう。）,（就休息一下……休息一下之后，再继续前进吧。）
story_143,"눈을 뜨자, 밖은 어느새 어둑해져 있었다.","When I opened my eyes, it had already grown dark outside.",目を覚ますと、外はすっかり薄暗くなっていた。,睁开眼时，外面不知何时已经暗了下来。
story_144,두리번거리며 신당 안을 둘러보았지만 그 신은 없었다.,"I looked around the shrine, but the god was nowhere to be seen.",辺りを見回したが、その神の姿はなかった。,我环顾神龛四周，却没有看到那位神明。
story_145,나는 몸을 일으켜 신당 밖으로 나왔다.,I got to my feet and stepped outside.,私は立ち上がり、外へ出た。,我站起身，走出了神龛。
story_146,(그 신은 어디로 간 거지...),(Where did he go...?),（あの神はどこへ行ったんだろう……）,（那位神明去哪儿了……）
story_147,나는 시원한 밤바람을 쐬며 기지개를 켜고 있었다.,I stretched beneath the cool night breeze.,涼しい夜風に当たりながら、大きく伸びをした。,我沐浴着凉爽的夜风，舒展着身体。
story_148,“...아이야.”,“...Little one.”,「……君。」,“……孩子。”
story_149,"그가 갑작스럽게, 내 뒤에서 모습을 드러냈다.",He suddenly appeared behind me.,彼は突然、私の背後に姿を現した。,他突然出现在我的身后。
story_150,“깜짝이야!”,“You startled me!”,「びっくりした！」,“吓我一跳！”
story_151,놀란 마음에 심장이 마구 뛰기 시작했다.,My heart immediately began to pound.,驚きで胸が激しく高鳴った。,因为受到惊吓，我的心脏开始剧烈跳动。
story_152,“...괜찮니?”,“...Are you alright?”,「……大丈夫かい？」,“……没事吧？”
story_153,“숨이 가빠 보이는데.”,“You seem a little short of breath.”,「少し息が上がっているようだけれど。」,“你好像有些喘不过气来。”
story_154,"“...괘,괜찮아요!”",“I-I'm fine!”,「だ、大丈夫です！」,“我、我没事！”
story_155,(왜...왜 저렇게 빤히 보는 거야...),(Why... why is he staring at me like that...?),（どうして……そんなにじっと見てくるの……？）,（为、为什么一直那样盯着我看……？）
story_156,저 신이 나를 바라볼 때마다 이상한 기분에 휩싸였다.,"Whenever he looked at me, I was overcome by a strange feeling.",あの神に見つめられるたび、不思議な気持ちに包まれた。,每当那位神明注视着我时，我都会被一种奇怪的感觉包围。
story_157,(분명 놀란 마음 때문일 거야...),(It must be because he startled me...),（きっと驚いたせいだ……）,（一定是因为被吓到了……）
story_158,“...음.”,“...Hmm.”,「……うーん。」,“……嗯。”
story_159,"“조금, 곤란하구나.”",“This is a little troubling.”,「少し困ったことになったね。」,“这可有些麻烦了。”
story_160,“뭐가요?”,“What is?”,「何がですか？」,“什么？”
story_161,"“내가 네게 신력을 준 것이 문제였는지, 감정이 공유되고 있는 것 같구나.”","“Perhaps because I shared my divine power with you, it seems our emotions are being shared as well.”",「私が君に神力を分けたせいだろうか。どうやら感情まで繋がってしまっているようだね。」,“也许是因为我把神力分给了你，我们的感情似乎也连在一起了。”
story_162,"“...네가 느끼는 게, 마치 내 것인 것처럼.”",“...What you feel reaches me as though it were my own.”,「……君が感じていることが、まるで自分のことのように伝わってくる。」,“……你感受到的一切，仿佛也变成了我的感受。”
story_163,“아마 너도 마찬가지이겠지...”,“I imagine it's the same for you.”,「おそらく、君も同じだろう。」,“想必你也是一样吧。”
story_164,“....네...?”,“...What?”,「……え……？」,“……啊……？”
story_165,“...이상하구나...이런 연결은 처음인데...”,“...How curious... I've never experienced a connection like this before...”,「……不思議だね……こんな繋がりは初めてだ……」,“……真是奇怪……这样的联系我还是第一次遇见……”
story_166,“말도 안 돼요.”,“That's impossible.”,「そんなはずありません。」,“这怎么可能。”
story_167,"나는 여러 번 성물을 훔치며 다녔지만,","I had stolen many sacred relics before,",私はこれまで何度も聖遺物を盗んできたが、,我至今已经偷过许多圣物，
story_168,이런 식으로 연결된 적은 단 한 번도 없었다.,but nothing like this had ever happened.,こんなふうに繋がったことは一度もなかった。,却从未发生过这样的事。
story_169,"어떻게 해야 할지 몰라, 그저 안절부절 못할 뿐이었다.","Not knowing what to do, all I could do was fidget anxiously.",どうすればいいのか分からず、ただ落ち着かないまま立ち尽くしていた。,我完全不知道该怎么办，只能不安地站在那里。
story_170,"“일단.. 지금 상태로는, 알 방법이 없겠구나.”",“For now... I don't think there's any way to know what's causing this.”,「ひとまず……今のところは、原因を知る方法がなさそうだね。」,“暂时……看来还没有办法弄清楚原因。”
story_253,“원인을 알아봐야겠어.”,“We'll have to find out what's behind it.”,「原因を調べてみる必要がありそうだ。」,“看来只能先查清原因了。”
story_171,"“괜찮다면...그동안은, 나와 함께 다니지 않으련?”",“If you don't mind... would you stay with me until we figure it out?”,「よければ……それまでは、私と一緒に来てくれないか？」,“如果你不介意的话……在查明原因之前，愿意和我一起行动吗？”
story_255,“......”,“......”,「……」,“……”
story_172,“그럼... 저는 신력을 구할 곳이 없어요.”,“Then... I won't have any way to obtain divine power.”,「でも……そうしたら、私は神力を得る手段がありません。」,“可是……那样的话，我就没有办法获得神力了。”
story_173,“...그건 걱정하지 말려무나.”,"“...You needn't worry about that, little one.”",「……それなら心配はいらないよ、君。」,“……这点你不用担心，孩子。”
story_174,"“나와 연결된 탓에, 조금씩 내 신력이 네게 흘러 들어가고 있으니.”","“Because we're connected, a little of my divine power is already flowing into you.”",「私たちは繋がってしまっているからね。少しずつ私の神力が君へ流れているようなんだ。」,“因为我们已经连接在一起了，我的神力正在一点点流向你。”
story_175,"그의 말에, 조금 안심이 된 것 같았다.",His words eased my worries a little.,その言葉を聞いて、少しだけ安心した。,听到他这么说，我稍微安心了一些。
story_176,적어도 당장 죽을 일은 없으니까.,"At least, I wasn't going to die anytime soon.",少なくとも、今すぐ死ぬことはなさそうだった。,至少，暂时不用担心会死了。
story_178,(상당히 골치 아파졌네... 하지만 방법이 없으니...),(This has become quite a headache... but I don't really have a choice.),（ずいぶん厄介なことになったな……でも、他に方法もないし……）,（事情变得相当棘手了……但我也没有别的办法……）
story_179,“...알겠어요...”,“...Alright.”,「……分かりました……」,“……我明白了……”
story_180,그가 나를 잠시 바라보았다.,He looked at me for a moment.,彼はしばらく私を見つめていた。,他静静地看了我一会儿。
story_181,"“...이대로 함께 다니려면, 이름 정도는 알아야 하지 않겠니?”","“...If we're going to be traveling together, we should at least know each other's names, shouldn't we?”",「……これから一緒に行動するなら、せめて名前くらいは知っておくべきじゃないかな？」,“……既然接下来要一起行动，至少该知道彼此的名字，不是吗？”
story_182,“...이름이요?”,“...My name?”,「……名前、ですか？」,“……名字吗？”
story_183,(알려줘도 되는 걸까...),(Is it really alright to tell him...?),（教えてしまってもいいのかな……）,（告诉他真的没关系吗……）
